iris_id,event_timestamp,created_timestamp,sepal_length,sepal_width,petal_length,petal_width,species
1,2025-01-01 00:00:00,2025-01-01 00:00:00,5.1,3.5,1.4,0.2,setosa
2,2025-01-01 00:01:00,2025-01-01 00:01:00,4.9,3.0,1.4,0.2,setosa
3,2025-01-01 00:02:00,2025-01-01 00:02:00,4.7,3.2,1.3,0.2,setosa
4,2025-01-01 00:03:00,2025-01-01 00:03:00,4.6,3.1,1.5,0.2,setosa
5,2025-01-01 00:04:00,2025-01-01 00:04:00,5.0,3.6,1.4,0.2,setosa
6,2025-01-01 00:05:00,2025-01-01 00:05:00,5.4,3.9,1.7,0.4,setosa
7,2025-01-01 00:06:00,2025-01-01 00:06:00,4.6,3.4,1.4,0.3,setosa
8,2025-01-01 00:07:00,2025-01-01 00:07:00,5.0,3.4,1.5,0.2,setosa
9,2025-01-01 00:08:00,2025-01-01 00:08:00,4.4,2.9,1.4,0.2,setosa
10,2025-01-01 00:09:00,2025-01-01 00:09:00,4.9,3.1,1.5,0.1,setosa
11,2025-01-01 00:10:00,2025-01-01 00:10:00,5.4,3.7,1.5,0.2,setosa
12,2025-01-01 00:11:00,2025-01-01 00:11:00,4.8,3.4,1.6,0.2,setosa
13,2025-01-01 00:12:00,2025-01-01 00:12:00,4.8,3.0,1.4,0.1,setosa
14,2025-01-01 00:13:00,2025-01-01 00:13:00,4.3,3.0,1.1,0.1,setosa
15,2025-01-01 00:14:00,2025-01-01 00:14:00,5.8,4.0,1.2,0.2,setosa
16,2025-01-01 00:15:00,2025-01-01 00:15:00,5.7,4.4,1.5,0.4,setosa
17,2025-01-01 00:16:00,2025-01-01 00:16:00,5.4,3.9,1.3,0.4,setosa
18,2025-01-01 00:17:00,2025-01-01 00:17:00,5.1,3.5,1.4,0.3,setosa
19,2025-01-01 00:18:00,2025-01-01 00:18:00,5.7,3.8,1.7,0.3,setosa
20,2025-01-01 00:19:00,2025-01-01 00:19:00,5.1,3.8,1.5,0.3,setosa
21,2025-01-01 00:20:00,2025-01-01 00:20:00,5.4,3.4,1.7,0.2,setosa
22,2025-01-01 00:21:00,2025-01-01 00:21:00,5.1,3.7,1.5,0.4,setosa
23,2025-01-01 00:22:00,2025-01-01 00:22:00,4.6,3.6,1.0,0.2,setosa
24,2025-01-01 00:23:00,2025-01-01 00:23:00,5.1,3.3,1.7,0.5,setosa
25,2025-01-01 00:24:00,2025-01-01 00:24:00,4.8,3.4,1.9,0.2,setosa
26,2025-01-01 00:25:00,2025-01-01 00:25:00,5.0,3.0,1.6,0.2,setosa
27,2025-01-01 00:26:00,2025-01-01 00:26:00,5.0,3.4,1.6,0.4,setosa
28,2025-01-01 00:27:00,2025-01-01 00:27:00,5.2,3.5,1.5,0.2,setosa
29,2025-01-01 00:28:00,2025-01-01 00:28:00,5.2,3.4,1.4,0.2,setosa
30,2025-01-01 00:29:00,2025-01-01 00:29:00,4.7,3.2,1.6,0.2,setosa
31,2025-01-01 00:30:00,2025-01-01 00:30:00,4.8,3.1,1.6,0.2,setosa
32,2025-01-01 00:31:00,2025-01-01 00:31:00,5.4,3.4,1.5,0.4,setosa
33,2025-01-01 00:32:00,2025-01-01 00:32:00,5.2,4.1,1.5,0.1,setosa
34,2025-01-01 00:33:00,2025-01-01 00:33:00,5.5,4.2,1.4,0.2,setosa
35,2025-01-01 00:34:00,2025-01-01 00:34:00,4.9,3.1,1.5,0.2,setosa
36,2025-01-01 00:35:00,2025-01-01 00:35:00,5.0,3.2,1.2,0.2,setosa
37,2025-01-01 00:36:00,2025-01-01 00:36:00,5.5,3.5,1.3,0.2,setosa
38,2025-01-01 00:37:00,2025-01-01 00:37:00,4.9,3.6,1.4,0.1,setosa
39,2025-01-01 00:38:00,2025-01-01 00:38:00,4.4,3.0,1.3,0.2,setosa
40,2025-01-01 00:39:00,2025-01-01 00:39:00,5.1,3.4,1.5,0.2,setosa
41,2025-01-01 00:40:00,2025-01-01 00:40:00,5.0,3.5,1.3,0.3,setosa
42,2025-01-01 00:41:00,2025-01-01 00:41:00,4.5,2.3,1.3,0.3,setosa
43,2025-01-01 00:42:00,2025-01-01 00:42:00,4.4,3.2,1.3,0.2,setosa
44,2025-01-01 00:43:00,2025-01-01 00:43:00,5.0,3.5,1.6,0.6,setosa
45,2025-01-01 00:44:00,2025-01-01 00:44:00,5.1,3.8,1.9,0.4,setosa
46,2025-01-01 00:45:00,2025-01-01 00:45:00,4.8,3.0,1.4,0.3,setosa
47,2025-01-01 00:46:00,2025-01-01 00:46:00,5.1,3.8,1.6,0.2,setosa
48,2025-01-01 00:47:00,2025-01-01 00:47:00,4.6,3.2,1.4,0.2,setosa
49,2025-01-01 00:48:00,2025-01-01 00:48:00,5.3,3.7,1.5,0.2,setosa
50,2025-01-01 00:49:00,2025-01-01 00:49:00,5.0,3.3,1.4,0.2,setosa
51,2025-01-01 00:50:00,2025-01-01 00:50:00,7.0,3.2,4.7,1.4,versicolor
52,2025-01-01 00:51:00,2025-01-01 00:51:00,6.4,3.2,4.5,1.5,versicolor
53,2025-01-01 00:52:00,2025-01-01 00:52:00,6.9,3.1,4.9,1.5,versicolor
54,2025-01-01 00:53:00,2025-01-01 00:53:00,5.5,2.3,4.0,1.3,versicolor
55,2025-01-01 00:54:00,2025-01-01 00:54:00,6.5,2.8,4.6,1.5,versicolor
56,2025-01-01 00:55:00,2025-01-01 00:55:00,5.7,2.8,4.5,1.3,versicolor
57,2025-01-01 00:56:00,2025-01-01 00:56:00,6.3,3.3,4.7,1.6,versicolor
58,2025-01-01 00:57:00,2025-01-01 00:57:00,4.9,2.4,3.3,1.0,versicolor
59,2025-01-01 00:58:00,2025-01-01 00:58:00,6.6,2.9,4.6,1.3,versicolor
60,2025-01-01 00:59:00,2025-01-01 00:59:00,5.2,2.7,3.9,1.4,versicolor
61,2025-01-01 01:00:00,2025-01-01 01:00:00,5.0,2.0,3.5,1.0,versicolor
62,2025-01-01 01:01:00,2025-01-01 01:01:00,5.9,3.0,4.2,1.5,versicolor
63,2025-01-01 01:02:00,2025-01-01 01:02:00,6.0,2.2,4.0,1.0,versicolor
