sepal_length,sepal_width,petal_length,petal_width,target
5.1,3.5,1.4,0.2,0
4.9,3.0,1.4,0.2,0
5.21,3.67,1.45,0.5,0
4.6,3.1,1.5,0.2,0
7.43,2.54,6.68,0.13,0
7.79,3.65,5.94,2.18,1
4.75,3.75,6.54,0.53,2
5.15,3.52,6.36,0.86,1
6.64,3.15,4.45,1.87,2
4.9,3.1,1.5,0.1,0
5.47,3.02,3.99,0.68,2
4.8,3.4,1.6,0.2,0
4.8,3.91,4.66,1.38,2
4.46,2.67,6.61,2.24,0
7.56,2.27,3.91,0.13,1
5.7,4.4,1.5,0.4,0
6.92,3.31,3.66,2.29,1
5.97,3.79,1.22,0.71,2
5.7,3.8,1.7,0.3,0
5.75,2.32,1.17,1.91,0
6.06,4.04,1.52,2.03,2
5.1,3.7,1.5,0.4,0
4.6,3.6,1.0,0.2,0
5.1,3.3,1.7,0.5,0
7.33,2.12,1.11,1.77,2
7.16,2.48,1.97,0.49,0
4.78,2.18,6.55,1.1,0
6.51,3.0,6.5,2.18,0
5.2,3.4,1.4,0.2,0
6.54,4.07,6.6,0.45,0
5.3,2.45,3.74,0.95,1
5.4,3.4,1.5,0.4,0
5.2,4.1,1.5,0.1,0
5.5,4.2,1.4,0.2,0
4.9,3.1,1.5,0.2,0
7.53,3.38,6.41,0.11,1
6.98,3.04,1.75,0.78,1
4.84,3.43,3.25,2.43,2
4.4,3.0,1.3,0.2,0
5.1,3.4,1.5,0.2,0
5.55,2.5,4.42,0.92,2
4.6,3.68,1.43,2.07,1
4.4,3.2,1.3,0.2,0
6.98,2.08,4.36,1.93,2
6.85,3.84,1.52,1.31,2
7.54,2.92,4.21,2.28,2
5.1,3.8,1.6,0.2,0
4.6,3.2,1.4,0.2,0
6.56,2.2,6.15,2.31,0
5.0,3.3,1.4,0.2,0
7.0,3.2,4.7,1.4,1
6.4,3.2,4.5,1.5,1
6.27,3.32,2.19,1.74,0
6.23,2.74,5.8,1.74,0
6.07,2.62,3.71,2.45,0
5.23,2.41,4.94,2.33,2
6.48,2.57,1.6,0.47,2
4.9,2.4,3.3,1.0,1
6.75,2.57,3.36,1.25,0
4.83,3.23,2.38,1.5,0
5.0,2.0,3.5,1.0,1
5.9,3.0,4.2,1.5,1
6.28,3.06,6.24,0.94,1
6.35,2.15,1.22,0.42,0
5.6,2.9,3.6,1.3,1
6.6,3.93,6.33,1.58,1
5.6,3.0,4.5,1.5,1
5.63,3.95,6.59,2.47,1
6.2,2.2,4.5,1.5,1
7.11,2.27,6.49,2.44,1
6.8,3.09,4.7,1.5,2
7.53,3.14,4.94,0.51,1
4.76,2.31,1.9,0.43,0
6.1,2.8,4.7,1.2,1
5.19,3.08,1.76,2.39,0
6.6,3.0,4.4,1.4,1
6.23,3.14,5.95,0.59,1
4.5,4.08,5.8,2.5,1
5.56,3.42,3.31,1.15,2
5.7,2.6,3.5,1.0,1
4.5,2.29,1.69,1.66,0
6.25,3.04,2.96,1.85,1
5.8,2.7,3.9,1.2,1
6.0,2.7,5.1,1.6,1
5.4,3.0,4.5,1.5,1
6.0,3.4,4.5,1.6,1
6.7,3.1,4.7,1.5,1
5.71,3.96,3.59,1.0,2
5.6,3.0,4.1,1.3,1
5.5,2.5,4.0,1.3,1
5.5,2.6,4.4,1.2,1
6.1,3.0,4.6,1.4,1
5.8,2.6,4.0,1.2,1
5.0,2.3,3.3,1.0,1
5.6,2.7,4.2,1.3,1
5.7,3.0,4.2,1.2,1
5.26,2.86,2.53,1.19,2
6.2,2.9,4.3,1.3,1
5.41,3.96,6.71,0.31,2
5.7,2.8,4.1,1.3,1
6.3,3.3,6.0,2.5,2
6.85,3.16,3.23,1.79,1
6.55,3.3,3.59,1.49,0
4.8,2.01,1.69,1.24,1
7.59,3.4,5.28,1.92,2
7.54,3.46,2.44,1.3,1
5.11,3.97,3.04,0.93,1
4.46,4.14,4.11,2.48,0
7.64,3.73,1.28,1.98,2
7.2,3.6,6.1,2.5,2
6.5,3.2,5.1,2.0,2
6.4,2.7,5.3,1.9,2
4.76,2.79,2.9,0.32,2
4.96,3.35,5.96,0.31,1
4.31,4.08,1.5,1.53,2
6.4,3.2,5.3,2.3,2
6.5,3.0,5.5,1.8,2
7.7,3.8,6.7,2.2,2
4.89,2.99,5.59,1.25,2
5.91,3.28,2.43,0.75,0
6.9,3.2,5.7,2.3,2
5.6,2.8,4.9,2.0,2
7.7,2.8,6.7,2.0,2
4.62,2.29,3.72,0.6,1
6.7,3.3,5.7,2.1,2
7.2,3.2,6.0,1.8,2
6.77,4.03,5.42,0.17,1
5.78,2.84,6.48,2.09,1
6.4,2.8,5.6,2.1,2
4.71,3.61,4.07,1.95,2
7.4,2.8,6.1,1.9,2
6.36,4.39,5.44,1.8,2
6.4,2.8,5.6,2.2,2
6.3,2.8,5.1,1.5,2
4.73,4.14,4.5,1.73,2
5.05,4.11,5.47,0.21,2
6.3,3.4,5.6,2.4,2
6.4,3.1,5.5,1.8,2
6.0,3.0,4.8,1.8,2
6.9,3.1,5.4,2.1,2
6.03,3.28,1.31,0.91,1
6.9,3.1,5.1,2.3,2
6.23,4.22,2.39,1.92,1
6.8,3.2,5.9,2.3,2
6.7,3.3,5.7,2.5,2
6.7,3.0,5.2,2.3,2
6.3,2.5,5.0,1.9,2
6.5,3.0,5.2,2.0,2
6.2,3.4,5.4,2.3,2
5.9,3.0,5.1,1.8,2
